time,seed,eigh
0,3,0.38535436081533797
1,3,1.3616558100000045
2,3,1.697276386648462
3,3,2.6445133551955036
4,3,7.207925242562215
5,3,46.7590101257972
6,3,19.02620193562232
7,3,7.035681737728892
8,3,8.138609215361921
9,3,5.3700073320124835
10,3,3.3240659042207823
11,3,4.957274115328498
12,3,4.435836850207429
13,3,4.711721036998495
14,3,1.8015976931924549
15,3,3.5316747254325604
16,3,5.92663177415202
17,3,4.53497093075965
18,3,2.9494437122214907
19,3,6.891379642717558
20,3,5.332017065601387
21,3,3.495630879457804
22,3,2.204775068597797
23,3,2.990769932113148
24,3,2.2253644423696364
25,3,4.528359318872757
26,3,3.095333212258896
27,3,5.146485312888485
28,3,3.3364198192270442
29,3,4.437321255477494
30,3,5.146199595393591
31,3,4.678567165954966
32,3,3.6624735249239846
33,3,5.037787094833123
34,3,3.785024932612243
35,3,3.721170299475937
36,3,2.6589690250096543
37,3,7.65931524739055
38,3,6.716835616162304
39,3,5.249424820890363
40,3,4.423967686474925
41,3,13.875076544423692
42,3,3.8637552163342552
43,3,4.97043646989031
44,3,6.433153074930795
45,3,5.4258279357072094
46,3,6.6757693240527045
47,3,5.080191197361315
48,3,2.8813515289833567
49,3,3.0582194775309497
