time,seed,eigh
0,11,2.3303268820424523
4,11,3.693575705105053
8,11,8.423767235126034
12,11,3.7601926521553426
16,11,3.161131786856188
20,11,2.631883810711322
24,11,3.8704268485049402
28,11,4.285090236417656
32,11,2.531016349635564
36,11,2.052405931214317
40,11,2.47640377104788
44,11,3.0810350670379902
48,11,3.873896701120431
52,11,3.8902213579285725
56,11,2.8164906086961117
60,11,2.998087220536489
64,11,2.881522428979743
68,11,4.6459284771818075
72,11,2.644089913981118
76,11,3.237252509824257
80,11,3.183250111699883
84,11,4.608796039272105
88,11,4.2451242739431345
92,11,3.31639853649567
96,11,1.7045657152603644
100,11,2.1212546918019495
104,11,2.80392351209404
108,11,2.38184702999358
112,11,2.9292324627904107
116,11,3.4097079678610513
120,11,2.819390707313724
124,11,2.78937962079981
128,11,3.774518012755067
132,11,2.3601868207726997
136,11,3.7648910241957405
140,11,5.951062348107068
144,11,2.0804912228897736
148,11,5.327318074362968
152,11,5.175097357984353
156,11,5.776189174844455
160,11,3.388356391008275
164,11,4.12424065499648
168,11,3.4771665376089724
172,11,10.578628718660458
176,11,7.060298399524858
180,11,9.446484004310584
184,11,4.502007159473982
188,11,3.6915347215913887
192,11,2.4243964072715296
196,11,2.476622140673365
200,11,2.6426214632582146
204,11,2.2668598935240816
208,11,6.547169737755914
212,11,2.613315991233252
216,11,2.5874317066494172
220,11,3.1718140221603974
224,11,3.5368101469324436
228,11,3.358900130275489
232,11,4.0250965830592165
236,11,7.778950309930086
240,11,7.884048579800396
244,11,2.010952371902588
248,11,2.6434596188459563
252,11,3.4215806438526153
256,11,2.5260505115381378
260,11,7.170112632449876
264,11,5.749037855613245
268,11,7.068196467527909
272,11,2.294367729685305
276,11,7.319377819415718
280,11,8.654537471598028
284,11,10.624008338122321
288,11,7.46781138158064
292,11,3.942083335530925
296,11,7.226502124485026
300,11,2.6043636123834637
304,11,3.3235490881491123
308,11,3.448229267513257
312,11,3.1354870770556995
316,11,2.2748793448778435
320,11,4.370426932272793
324,11,2.2091477927815153
328,11,3.963103305368271
332,11,1.9882527487129844
336,11,3.132613050022242
340,11,5.950297473451809
344,11,4.678286649897628
348,11,6.135855132924498
352,11,4.047347677346245
356,11,8.06123002914095
360,11,4.024617399580814
364,11,3.1572692866376326
368,11,5.472716310284851
372,11,3.895328819467843
376,11,2.821425164123385
380,11,3.374784504164048
384,11,2.374391473893293
388,11,6.191085171023809
392,11,2.447075728874315
396,11,2.5461096883486927
0,13,1.239800217974839
4,13,6.204432783999018
8,13,4.615357162272694
12,13,3.435569581334566
16,13,3.9115511732030224
20,13,3.146114029801496
24,13,1.8490123254341877
28,13,5.554073626141698
32,13,2.96621717743244
36,13,2.966041112442151
40,13,3.035142722593299
44,13,3.6220025312138673
48,13,2.5229325075622775
52,13,3.4612339911884615
56,13,3.07973430290404
60,13,1.9740791292212025
64,13,2.8166103526961686
68,13,4.243548439701812
72,13,3.0078583446874196
76,13,2.7780003590212283
80,13,2.8021461158095105
84,13,3.1113934723092695
88,13,7.985881090592448
92,13,3.546762829552963
96,13,2.130110410382794
100,13,2.0297827186787276
104,13,2.042511647841456
108,13,2.1042908632163297
112,13,3.639299858226374
116,13,2.628117536329563
120,13,2.642278289867168
124,13,1.9035960383898993
128,13,3.9462851127907874
132,13,2.4828421583576987
136,13,5.221301874917985
140,13,3.767327287004127
144,13,1.843310532684448
148,13,3.9050062001890176
152,13,6.576974531485784
156,13,3.292256245531909
160,13,4.764575123571906
164,13,4.363008232689752
168,13,2.947631665456342
172,13,6.29691099426679
176,13,5.808766201672421
180,13,5.244815829883836
184,13,4.031447878240168
188,13,3.7956786390223214
192,13,4.911983764890841
196,13,2.1877280277440505
200,13,2.6684992992789813
204,13,2.843180613721398
208,13,4.382764013337966
212,13,3.2161037119748257
216,13,3.2680482565006512
220,13,4.8399407856298415
224,13,3.0161442856330254
228,13,3.464211016864516
232,13,3.3960789035617562
236,13,7.4188815466985645
240,13,4.472872713594123
244,13,2.684356908576015
248,13,2.7951408600511494
252,13,3.7201739253687207
256,13,3.816043005160273
260,13,4.434704329584636
264,13,3.0643414488088956
268,13,6.966571291796537
272,13,2.702347008999595
276,13,5.411774505406419
280,13,8.506523926315776
284,13,14.919012448371928
288,13,6.3432231747308325
292,13,3.2253677752679333
296,13,8.90568126922672
300,13,4.697227621571222
304,13,3.477830800542781
308,13,3.164776078322606
312,13,4.788948848740761
316,13,2.2525019022814843
320,13,3.175028919248248
324,13,1.6529924585496767
328,13,4.788668067365033
332,13,2.517392029333745
336,13,2.3432923618676185
340,13,8.106468489827703
344,13,6.2085835606040485
348,13,4.21752862179627
352,13,3.8092175645007758
356,13,3.276029786522226
360,13,5.812939464615028
364,13,2.2189721085600262
368,13,5.034112006391747
