time,seed,sinkhorn_div
0,3,10.84454993559733
1,3,9.83983173195475
2,3,10.384583608464588
3,3,9.221723070641493
4,3,7.515706210579948
5,3,6.091793743987653
6,3,4.720398267656856
7,3,3.9520602394331488
8,3,3.603283253856062
9,3,3.338700376518174
10,3,2.683717594315318
11,3,2.6745821974142236
12,3,2.397928289478635
13,3,2.6197042178858636
14,3,2.3177963640161288
15,3,2.416118746062466
16,3,2.35155905282918
17,3,2.7832283099189468
18,3,2.406788357047141
19,3,2.8455878386908173
20,3,2.665529982381571
21,3,2.400352086626149
22,3,2.2853686633381853
23,3,2.236237929744994
24,3,2.123464141521384
25,3,2.0795167550514697
26,3,2.093833807790971
27,3,2.21526977101802
28,3,2.0778161299776063
29,3,2.037520603941667
30,3,1.9321542641318348
31,3,2.1160435137249753
32,3,2.1912347791091977
33,3,2.149599960725228
34,3,2.1629146465051288
35,3,2.16962211729046
36,3,2.1962399950054685
37,3,2.173244127108306
38,3,2.12227006473284
39,3,2.220090112146033
40,3,2.0701739570758133
41,3,2.082575342251114
42,3,2.085157041238668
43,3,2.081542682401605
44,3,2.0663808666033128
45,3,2.335718355137791
46,3,2.576140501165335
47,3,2.3047949814383974
48,3,2.1388665097649824
49,3,2.2465640429858795
