time,seed,sinkhorn_div
0,3,5.740777954655466
1,3,6.030879666516482
2,3,6.256922435921723
3,3,3.633316628537288
4,3,2.681359750773407
5,3,2.4331790086938505
6,3,2.389491591705963
7,3,2.4534629054510018
8,3,2.9283084319316455
9,3,2.765315496507957
10,3,3.029932266586185
11,3,3.7385010211244736
12,3,2.938138851740907
13,3,2.5625436360435305
14,3,2.2597167752458254
15,3,2.5407145128985795
16,3,2.324523598048801
17,3,2.533781787012362
18,3,2.6074719827816386
19,3,2.4294423657364375
20,3,2.407602499803094
21,3,2.373840751821517
22,3,2.3272817223751647
23,3,2.231701191394609
24,3,2.1538058816896606
25,3,2.1245140193154346
26,3,2.174867832070514
27,3,2.462309923920624
28,3,2.477942722924007
29,3,2.4716471802176345
30,3,2.9973921567274004
31,3,2.697435775572086
32,3,2.740029205667815
33,3,2.7219606931316283
34,3,3.3719741538019967
35,3,3.0858094007728263
36,3,2.5459712946877513
37,3,2.734838217600181
38,3,2.6244599831383373
39,3,2.884804964927256
40,3,2.900915356573828
41,3,2.332695896635307
42,3,3.0192234528904756
43,3,3.1437318532128
44,3,5.185834502380883
45,3,3.4725955575932264
46,3,2.908408563145526
47,3,2.7348162485773457
48,3,3.3325651396260922
49,3,2.7253788780909503
