time,seed,eigh
0,11,0.6999721604805998
4,11,8.046887571072986
8,11,2.1864429823142415
12,11,1.8149510794571864
16,11,4.227236795234105
20,11,3.050272928248138
24,11,3.316797713970048
28,11,4.257802068077538
32,11,4.159027368749318
36,11,2.320125154893241
40,11,1.8170357480108696
44,11,3.7849849462848213
48,11,6.2608692788550355
52,11,4.357879926700723
56,11,1.9546704927839296
60,11,2.370714789900323
64,11,3.5912808369638385
68,11,14.490758388185283
72,11,3.396358169022476
76,11,4.754005464997728
80,11,4.859025021598686
84,11,2.91497591846811
88,11,4.482710509155409
92,11,2.237962932220548
96,11,2.7926022730796474
100,11,2.4128048977313434
104,11,2.6281792264337542
108,11,1.9710008277358264
112,11,2.663000629720246
116,11,5.441693835373301
120,11,3.1907295295831255
124,11,2.0638504496809467
128,11,3.8746433478724907
132,11,2.7732191041660488
136,11,4.12418592339914
140,11,3.889165684823201
144,11,1.8433479252336065
148,11,4.571038965903575
152,11,4.035374347951223
156,11,8.237782817947446
160,11,4.713749271713984
164,11,4.270133739318804
168,11,2.9888405257779778
172,11,15.568884348971578
176,11,13.31598570787979
180,11,3.1949292216017136
184,11,4.416497906496372
188,11,2.985187736460403
192,11,3.0952832916397806
196,11,2.0917791326224937
200,11,2.032829445831944
204,11,3.5837737858880003
208,11,6.105143886671052
212,11,2.0352957078231952
216,11,3.3805115344065806
220,11,4.221336264978247
224,11,4.909250339031261
228,11,4.244567995275651
232,11,5.722877111819218
236,11,4.676787453425949
240,11,3.9613282665243186
244,11,4.378459701119746
248,11,3.3990674906552196
252,11,2.096697833738259
256,11,6.403267953452116
260,11,14.637066304869117
264,11,2.8809177342817605
268,11,2.831335135685688
272,11,2.2580444218796774
276,11,5.116225121310458
280,11,9.208912757544459
284,11,10.461459244092593
288,11,9.571768729920064
292,11,4.256989068323011
296,11,7.302887428110535
300,11,9.397385393912256
304,11,2.725005917152701
308,11,2.940054476645791
312,11,2.629888992733723
316,11,2.6804952341634087
