time,seed,eigh
0,11,0.5562060198215172
4,11,1.8758034325876058
8,11,2.4760661055807045
12,11,2.7484459970849113
16,11,1.5507811708195414
20,11,2.1380992705227633
24,11,1.877805612044831
28,11,1.751152444097009
32,11,1.8775998217126169
36,11,1.518434316465326
40,11,2.0473080948749396
44,11,2.191076788690314
48,11,1.4910721265581024
52,11,2.25010150044753
56,11,1.553251715876522
60,11,2.3708354852210554
64,11,1.8280815513644904
68,11,2.7612714918136
72,11,2.447953332559331
76,11,2.1849087595969943
80,11,1.7414739863280781
84,11,2.507343410633071
88,11,5.128287673794371
92,11,1.244137394508695
96,11,1.1805450242862536
100,11,1.3615910413781604
104,11,1.5752408334313084
108,11,1.158123777015909
112,11,1.7432611345354445
116,11,1.9769532792919131
120,11,1.4800357421483559
124,11,1.1414596814012539
128,11,2.0271450561827664
132,11,1.0256696732327215
136,11,1.8449486607714098
140,11,1.7977269365710018
144,11,1.3004418319056399
148,11,2.833548537634949
152,11,1.902381249403478
156,11,3.616726144128596
160,11,4.679281091222291
164,11,2.360209805206907
168,11,1.2386251578178749
172,11,5.038086606943179
176,11,2.6387081214685355
180,11,3.017961947603446
184,11,1.9046981512979053
188,11,2.253451828472338
192,11,1.9574258915945164
196,11,1.902387650894868
200,11,1.5002315811011329
204,11,2.1311491314300652
208,11,2.6819014390459395
212,11,2.19379352270694
216,11,2.5783099742453857
220,11,3.8607942990180337
224,11,1.8420302672491635
228,11,1.7507007248398925
232,11,1.8437062441984382
236,11,1.7449050426047845
240,11,1.8462248162816712
244,11,1.3122361967213252
248,11,1.4547362115751505
252,11,2.3436846651669083
256,11,2.6535783989260087
260,11,2.8465095176301833
264,11,2.5428371803715364
268,11,3.913774121767639
272,11,1.5749796370887306
276,11,2.858263317088348
280,11,3.349810955960059
284,11,6.3992513597589396
288,11,3.840028488916553
292,11,1.4999818301727792
296,11,2.850683848008916
300,11,2.430671845667644
304,11,2.2748445280816836
308,11,2.9064654731483475
312,11,1.9332705694069137
316,11,1.5293546168874763
320,11,4.557018440225467
324,11,1.2150835191758185
328,11,3.282205095103759
332,11,1.6395924491399165
336,11,2.45668292284081
340,11,3.6830709639018075
344,11,1.7699602133241061
348,11,2.104060053753052
352,11,1.2250320762749884
356,11,1.3148686419454336
360,11,3.1163291306603935
364,11,2.3711759959167353
368,11,2.451388070917928
372,11,1.1241008553788852
376,11,2.220440253150948
380,11,1.9901517588515347
384,11,1.2717235965171498
388,11,4.455500572908547
392,11,2.0815487466658715
396,11,1.3414261477898777
0,13,0.5888720471066665
4,13,1.3616009610145436
8,13,4.6532505351026066
12,13,3.19770138106298
16,13,2.1973456411610894
20,13,2.2470234259179063
24,13,1.4291890539312442
28,13,1.7952437481411838
32,13,2.284409631153077
36,13,0.9870408831762125
40,13,1.3710036157764873
44,13,1.9826008034810692
48,13,3.189984722860308
52,13,1.5297929169190156
56,13,0.9377955605861817
60,13,1.7144268845404433
64,13,1.2508822320054074
68,13,1.6169008453373417
72,13,2.3301776991891723
76,13,1.5423689981840387
80,13,1.6918041589861932
84,13,1.868675042245908
88,13,2.3874217394010686
92,13,1.6895588005715931
96,13,1.1580601006212243
100,13,2.0407884120370254
104,13,1.2880535245623859
108,13,1.4772334271842886
112,13,2.2900829101336497
116,13,1.398539620999023
120,13,1.431906519975081
124,13,1.4012690483094656
128,13,2.306104423974049
132,13,1.5258964804267596
136,13,1.6326081257363034
140,13,1.5945502017685125
144,13,1.1844770355384877
148,13,2.4296482040111864
152,13,3.3515648267943994
156,13,2.065963982107998
160,13,3.52630927995324
164,13,2.1677776606498287
168,13,1.4068931927428079
172,13,3.493718661169394
176,13,3.3068253980616666
180,13,2.610149776874326
184,13,1.6928350700157746
188,13,1.6452968113506694
192,13,1.6645628400334085
196,13,1.2491753826907652
200,13,2.6621634601063375
204,13,1.290259114140621
208,13,2.9155925863864627
212,13,2.0769416293123135
216,13,1.2844947990782922
220,13,2.349757682807702
224,13,2.0120395393887445
228,13,1.2094783728693435
