time,sinkhorn_div
0,11.483052910719806
1,9.584551747585717
2,10.633415569437851
3,9.748909522476932
4,13.752199309195738
5,14.126198506779158
6,13.30302270944494
7,11.904416561385618
8,11.249667014386262
9,7.226362169942885
10,5.5143630013178075
11,4.045208326334057
12,3.0075903872434098
13,3.2011748541398584
14,2.7594401713674985
15,2.6106321310357368
16,2.483457287846002
17,3.430026304850348
18,3.5675537669909185
19,2.963627783267721
20,2.206628597292245
21,2.365009476721328
22,2.2980339603686915
23,2.1907715447748686
24,2.326069686272165
25,2.229789242899208
26,2.1709790474378288
27,2.35934529064749
28,2.2052006243999114
29,2.142818246215931
30,2.1135160135962496
31,2.0223228890068774
32,1.9735121277194156
33,2.1440289018447958
34,2.0635212768389475
