time,seed,eigh
0,3,1.1706286012821272
1,3,4.0766950715322166
2,3,29.64824920722989
3,3,5.479309101043978
4,3,11.669473536810644
5,3,7.296286119565476
6,3,6.156384004259555
7,3,2.882894051453453
8,3,7.326545084921055
9,3,9.400110064723881
10,3,4.51591199505735
11,3,9.027159546065691
12,3,2.310741542916077
13,3,5.499285858580422
14,3,2.57855712955139
15,3,6.284966396141711
16,3,4.400633264886905
17,3,2.500373980176136
18,3,5.687575171114122
19,3,4.041360395982086
20,3,5.2919404416385065
21,3,6.85328888581689
22,3,6.694498470713741
23,3,3.3434164088044933
24,3,6.607501708398998
25,3,2.6537854894536865
26,3,2.710549343022809
27,3,3.056307240905413
28,3,5.904635215661474
29,3,5.590507053753895
30,3,3.6625029562957736
31,3,5.325368814572427
32,3,3.780927869002363
33,3,2.6531288355509672
34,3,8.323493532982043
35,3,7.287809916172348
36,3,5.601727685544985
37,3,5.758116996880967
38,3,2.335371576418274
39,3,2.8113419481399284
40,3,4.20584525025023
41,3,5.016378246255738
42,3,11.02393134295142
43,3,4.284539370416596
44,3,17.502751390898556
45,3,6.672827975411486
46,3,4.885530749327702
47,3,3.6089662692157494
48,3,4.389402000595557
49,3,5.127565130425258
