time,seed,sinkhorn_div
0,3,2.789775848388672
4,3,2.9700236320495605
8,3,3.479682445526123
12,3,3.120237112045288
16,3,5.230565071105957
20,3,3.5968070030212402
24,3,3.127767562866211
28,3,3.489445686340332
32,3,3.29451060295105
36,3,2.852416515350342
40,3,3.8335883617401123
44,3,5.969649314880371
48,3,3.7221150398254395
52,3,4.4254231452941895
56,3,4.917942523956299
60,3,3.6071152687072754
64,3,3.5560412406921387
68,3,3.484802722930908
72,3,3.2600276470184326
76,3,4.598733425140381
80,3,5.145726203918457
84,3,3.4182538986206055
88,3,3.0245893001556396
92,3,2.639244318008423
96,3,3.3274285793304443
100,3,3.043182373046875
104,3,2.8091118335723877
108,3,3.0442256927490234
112,3,2.646165132522583
116,3,3.026162624359131
120,3,3.5034940242767334
124,3,3.0100581645965576
128,3,3.124027967453003
132,3,3.5246787071228027
136,3,3.5655910968780518
140,3,4.91811466217041
144,3,3.123685359954834
148,3,3.4649314880371094
152,3,3.940340042114258
156,3,3.390601634979248
160,3,3.538205862045288
164,3,3.0993871688842773
168,3,2.9398162364959717
172,3,2.778712034225464
176,3,2.9672176837921143
180,3,4.6631245613098145
184,3,5.435348987579346
188,3,3.2910757064819336
192,3,3.387974262237549
196,3,4.197723388671875
200,3,2.5682523250579834
204,3,2.7623631954193115
208,3,4.086026191711426
212,3,4.1566057205200195
216,3,3.8688511848449707
220,3,3.306614637374878
224,3,3.463906764984131
228,3,3.8657238483428955
232,3,3.545144557952881
236,3,4.731902122497559
240,3,4.651352405548096
244,3,4.178205490112305
248,3,3.1068553924560547
252,3,2.6885647773742676
256,3,3.866309642791748
260,3,3.6164236068725586
264,3,5.061857223510742
268,3,3.097447395324707
272,3,3.416198253631592
276,3,3.7932333946228027
280,3,3.938861608505249
284,3,3.356316566467285
288,3,4.11716890335083
292,3,4.353320598602295
296,3,2.873491048812866
300,3,2.8502016067504883
304,3,3.7807247638702393
308,3,2.9180214405059814
312,3,4.4188008308410645
316,3,3.231971502304077
320,3,5.899900913238525
324,3,4.234554290771484
328,3,3.557466745376587
