time,seed,sinkhorn_div
0,3,11.09382083494111
1,3,11.713332732245297
2,3,6.558373307231887
3,3,3.332562134858168
4,3,2.8494823654975896
5,3,2.5486035244372887
6,3,2.440008193455682
7,3,2.349178588645682
8,3,2.9319293180535597
9,3,2.472717091563628
10,3,2.564254253314376
11,3,2.8551304064896095
12,3,3.2184033253462205
13,3,3.3378450536769915
14,3,2.61952474054608
15,3,3.907345671531811
16,3,2.706941060907415
17,3,2.594679148983441
18,3,3.2888022566746544
19,3,3.378557379027165
20,3,2.358675518305364
21,3,2.6032345642259394
22,3,2.073128106405595
23,3,2.0786750467060946
24,3,2.088489928203222
25,3,1.7360472307108787
26,3,1.9740643300876344
27,3,2.0986376975789467
28,3,2.2125867751179293
29,3,2.596990560262546
30,3,2.133091611380131
31,3,2.2651688741419145
32,3,2.0484408147975657
33,3,2.0821623626707657
34,3,3.657917392404892
35,3,2.3797289298064834
36,3,2.586414489087701
37,3,2.543955621680167
38,3,2.228883089466015
39,3,2.3931820227981793
40,3,2.4538377831838067
41,3,2.771847723275106
42,3,4.401297525345931
43,3,3.8787549191983715
44,3,3.7500333148748024
45,3,3.380282471269419
46,3,4.537867272175643
47,3,5.911045610133466
48,3,3.2671241057205305
49,3,5.3531561267702745
