time,seed,sinkhorn_div
0,3,5.695809132046225
1,3,5.637192630212495
2,3,3.7605557966339456
3,3,3.5296132843604537
4,3,2.5295553303639275
5,3,2.7718730113679273
6,3,2.2766795948419225
7,3,2.2148340618587716
8,3,2.4473986030125103
9,3,2.5010818048190613
10,3,2.2629339613370965
11,3,3.3871270343934756
12,3,3.0106178577252054
13,3,2.729029110846548
14,3,2.991165345106341
15,3,2.3411471346015977
16,3,2.398916389296316
17,3,2.8510296885571322
18,3,3.218136034435588
19,3,2.5933954387213705
20,3,2.338961274040505
21,3,2.240096017278272
22,3,1.9204843343360487
23,3,1.9063629992402906
24,3,1.975403758920552
25,3,1.898923395713981
26,3,2.065110144460203
27,3,1.9834691781182394
28,3,2.0120064835187983
29,3,2.073554958302311
30,3,2.6819693856309073
31,3,2.4651491003228405
32,3,2.606881234914475
33,3,2.096296782725058
34,3,2.0520039138013018
35,3,3.1518613311453034
36,3,2.432829661912111
37,3,1.9131884389214973
38,3,1.7600170637517312
39,3,2.053913391263379
40,3,2.2819114666681144
41,3,2.1824847904475
42,3,2.665856347548641
43,3,3.504288770534255
44,3,3.1552163121569756
45,3,3.347107672061295
46,3,2.5296047185367634
47,3,2.15705591151071
48,3,2.045705213503803
49,3,2.183771934813993
