time,sinkhorn_div
0,11.27450798293555
1,9.110854317652187
2,8.042187019474584
3,7.27807802943695
4,6.77370194355319
5,6.528985167892415
6,6.255625350317699
7,6.036297917898204
8,5.881725315768396
9,5.675954150445453
10,5.508507391380214
11,5.5111090928377475
12,5.515605907315043
13,5.301237803409576
14,5.302862774243647
15,5.129065159525444
16,5.2098939547516085
17,5.230517277073564
18,5.034141504471885
19,4.791959751495188
20,4.814537521754247
21,5.116123486794699
22,5.0375367842002206
23,5.139360419734551
24,4.967864702708949
25,4.876367066413403
26,4.702875263889208
27,4.838313046292028
28,4.599756880954524
29,4.560931041103701
30,4.573846489107433
31,4.657348479375719
32,4.59486104231784
33,4.502731102548764
34,4.6960401069747695
35,4.76086183738426
36,4.502171951488924
37,4.44208073932748
38,4.3965069419557565
39,4.369127935809346
40,4.426381196663174
41,4.364170163577166
42,4.520434280812712
43,4.314281928002002
44,4.219998468626273
45,4.375491473716747
46,4.315939528723898
47,4.036268780130206
48,3.814224276074404
49,3.74414291047814
50,3.716966998659405
51,3.6706547025214333
52,3.6911229035487283
53,3.885166989791633
54,3.9117324910604623
55,3.8184193917873244
56,3.884884753625118
57,4.104763468806132
58,3.998186467291626
59,4.162116356609387
60,4.180297065294054
61,4.350976012609409
62,4.364760206086014
63,4.3359347147872676
64,4.325616721134148
65,4.34415998701791
66,4.32602238769379
67,4.334051161624865
68,4.231563018521856
69,4.461623568429935
70,4.857973123206471
71,4.355368877495264
72,4.457450238198526
73,4.2587275280948855
74,4.111645637370565
75,3.9523303878548814
76,3.981028921688579
77,3.786554846602783
78,3.7561302811025876
79,3.6970662873562787
80,3.6330100684864144
81,3.4947077748856996
82,3.5991302187134933
83,3.6317662361564067
84,3.786403708006643
85,3.7281756632132272
86,3.5544712699580194
87,3.6096630579923064
88,3.6577536287667605
89,3.780035410576011
90,3.703910916850308
91,3.651917582258727
92,3.711764853655062
93,3.7870205090294142
94,3.6767240354693227
95,3.8447348845888407
96,3.843500741281808
97,3.7831237775755753
98,3.89131939634076
99,4.026599666693977
