time,seed,sinkhorn_div
0,3,4.840135370048096
4,3,2.4752029875157184
8,3,1.93597259612826
12,3,2.2841563066620814
16,3,4.17879161324465
20,3,2.096828531810645
24,3,2.1140506493122784
28,3,2.4538377831838067
32,3,2.072537130246404
36,3,2.2447494066218288
40,3,2.5551927166127335
44,3,1.8618243457655916
48,3,2.0162514592808116
52,3,2.2544821494337626
56,3,2.1858339777354217
60,3,2.102094164676442
64,3,2.4547790005225014
68,3,2.287103016076504
72,3,2.5822664231675447
76,3,2.082299191981488
80,3,2.8914943728021982
84,3,3.5409010265257175
88,3,2.2937131125163184
92,3,1.905812135030027
96,3,2.1538013431320655
100,3,2.11147819500919
104,3,1.9986495584774058
108,3,2.035725870792628
112,3,2.1803967268887554
116,3,2.6461519264784044
120,3,2.123963271417969
124,3,2.2652813881068874
128,3,2.0661389010285602
132,3,2.071484964288998
136,3,2.0887699398821717
140,3,2.0456367999096945
144,3,1.8807843946998055
148,3,2.2910936737424756
152,3,2.079336401280452
156,3,2.3984641406042844
160,3,2.438841914992036
164,3,2.2450433812697157
168,3,2.3265059813326845
172,3,2.5126698830330008
176,3,2.764955687486848
180,3,2.1513554403475244
184,3,2.1640632712021977
188,3,2.3398247974373287
192,3,2.0386270226132837
196,3,2.0222437809690423
200,3,2.173869801796127
204,3,1.9863383275072912
208,3,2.8499860194348536
212,3,2.5683827678354834
216,3,2.4195598734861425
220,3,2.2796271835829582
224,3,2.504128575683259
228,3,1.9187834770935368
232,3,2.552077613876058
236,3,2.0192325452300706
240,3,1.9456592541849114
244,3,2.884030134056846
248,3,2.354727202892667
252,3,1.891200647914117
256,3,1.9346395111417214
260,3,2.352862128865338
264,3,2.552338152769249
268,3,2.3883676280585058
272,3,2.1903949654863344
276,3,2.1843374006230682
280,3,2.621253473500582
284,3,4.3392741244081146
288,3,2.3497488942822
292,3,2.274976910484435
296,3,2.1136414508254955
300,3,2.545415448377747
304,3,2.1799725308568747
308,3,2.0813528820189346
312,3,2.732400061061514
316,3,2.4727191163759805
320,3,2.9381643315133092
324,3,2.038597550858245
328,3,2.1990134107762795
332,3,2.588016653770859
336,3,2.273090454040436
340,3,2.5381450227888407
344,3,2.3329037770467482
348,3,2.9334707018447523
352,3,2.300897617991775
356,3,2.1989611513766385
360,3,2.0981062933775654
364,3,2.4859042469344548
368,3,2.37742932203555
372,3,1.9300958610604528
376,3,2.40874243124865
380,3,2.1304178173774084
384,3,1.9364968440874477
388,3,2.27233576870445
392,3,2.4416592642332318
396,3,2.080100934257277
0,5,6.193491799278062
4,5,2.378953554281322
8,5,1.9779964869306974
12,5,2.2078972391873304
16,5,3.0531492140560403
20,5,2.097086056407442
24,5,2.0788795420734845
28,5,2.1143675319755117
32,5,2.1663610047142607
36,5,2.053114720613477
40,5,2.2356923094852856
44,5,2.0698453556105534
48,5,3.380455552726218
52,5,2.667776254436978
56,5,2.4126499821188863
60,5,2.127879267774057
64,5,2.274077859469943
68,5,2.262511857143967
72,5,2.569120461139893
76,5,2.540186988075328
80,5,2.0488167208780563
84,5,2.4793204465556653
88,5,2.4239636674556446
92,5,2.1420784352791995
96,5,1.961109351420611
100,5,2.196208078834314
104,5,2.183339221839632
108,5,2.016425040511113
112,5,2.3638316120520764
