time,sinkhorn_div
0,10.532827740216685
1,7.973408373391344
2,5.835464887364172
3,5.658255037300694
4,6.02993364743597
5,5.633402165250084
6,4.539701590792864
7,4.167961199252181
8,3.4419180481911344
9,3.209041880523623
10,2.914957926529977
11,2.952353240394329
12,2.7030224201826387
13,2.4888631718116785
14,2.3865351379991844
15,2.4946603017053324
16,2.3299957542217027
17,2.2939158990305097
18,2.2208872427728257
19,2.6027696346326112
20,2.7084073178872043
21,2.6831529635667843
22,2.8796632514218317
23,2.455223012456008
24,2.4450316831568104
25,2.3616159672254193
26,2.2606281820269047
27,2.620532366559473
28,2.5508077015461854
29,2.702063997229394
30,2.5462619535140303
31,2.5141559362978034
32,2.5463542756951703
33,2.386943700400543
34,2.936831621465445
35,2.57791774957105
36,3.017560268707282
37,2.658682035179192
38,2.3218699151005264
39,2.209633486463475
40,2.5985206943940886
41,2.69791028428274
42,2.47130327135477
43,2.644651244017655
44,2.5269645866385315
45,2.49638133414597
46,2.4749081257423433
47,2.2329599661477815
48,2.3922102913994805
49,2.35134430440159
50,2.2926229966842646
51,2.3931569173960403
52,2.324061079046634
53,2.233387548822932
54,2.2239717100457326
55,2.235526795057961
56,2.233304707737513
57,2.177953214726131
58,2.16080998880958
59,2.1376388772387216
60,2.187025400175586
61,2.2697114068649524
62,2.402991925388316
