time,sinkhorn_div
0,11.06770124846587
1,8.868444036108139
2,7.996705568999986
3,8.332808617920529
4,7.562076525220505
5,7.750485066646509
6,6.736595690449445
7,6.4280768007391735
8,5.996314824405792
9,4.897743382776427
10,3.9130448714544057
11,3.813723883625382
12,3.7783223317550823
13,3.3729942861056794
14,3.032475960959359
15,2.7002629469942656
16,2.572179979710296
17,2.5665891631508857
18,2.451103787027443
19,2.3975215989652487
20,2.477882202107181
21,2.566228712377316
22,2.4299135746912377
23,2.731977272536774
24,2.6354316339080346
25,2.710383729688142
26,2.648646793704112
27,2.7986675463955706
28,2.8876340496439443
29,2.595806271905403
30,2.555413845758785
31,2.5849410151055103
32,2.473701726086792
33,2.41546471620412
34,2.866994908488303
35,2.682131617440715
36,2.515939159797876
37,2.5423434143460057
38,2.474239282549938
39,2.5744202785302583
40,2.7888026183194308
41,2.7865247106519133
42,2.595694490968052
43,2.8527583710842923
44,2.684350941098348
45,2.7120970079463373
46,2.8440305131329633
47,2.8911917465945027
48,2.8346251927221933
49,2.8069698642353798
50,2.7653535181625184
51,2.526359071486287
52,2.449816276512541
53,2.681579722513769
54,2.6219000904942376
55,2.554106480032975
56,2.6384635972979344
57,2.5704338253802956
58,2.5054899970718796
59,2.5301759112874596
60,2.5437806411134902
61,2.506722947395176
62,2.56256708196899
63,2.791137778062984
64,2.7386073028565145
65,2.7585376510166424
66,2.7480738570048415
67,2.7040432820044447
68,2.9675275996402233
69,2.9951994952723084
70,2.716471978292818
71,2.5449989758022924
72,2.5513957336459487
73,2.4488282690932026
74,2.364423794062665
75,2.401703539884482
76,2.607182386736912
77,2.656465678715078
78,2.530885175622608
79,2.4843228892493214
80,2.417273302780824
81,2.5784491132974687
82,2.4185553657230736
83,2.547106211646024
84,2.48158414498115
85,2.451264957925074
86,2.5816196684954296
87,2.5486525434913774
88,2.431750436777503
89,2.519583294944538
90,2.9904966831083644
91,2.491766436651517
92,2.6728430884787575
93,2.938843277944044
94,3.219822973277886
95,2.7051266001410226
96,2.715730064124372
97,3.0942704504723735
98,3.003601138092894
99,2.9989315355505255
